id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice,type
53,Kendra Ruiz,905-433-015,06-07-2019,42700,56470,56470,03,36,1,3,27463.24,28320.598,0,621,23800,62400,6.5300002,188753,39.481922
54,Jeff Walsh,181-360-503,06-05-2019,41800,55280,29640,02,39,0,2,24706.713,38665.301,0,608,53200,0,6.7800002,206720,38.377544
55,Philip Castillo,125-010-937,06-04-2019,43700,57793,57793,05,31,1,3,60919.832,66256.188,2,636,43100,68300,7,174405,60.36261
56,Cecil Taylor,980-217-230,06-02-2019,43200,57131,57131,05,33,0,3,53461.082,27256.992,0,625,44100,0,7.1300001,191171,55.705486
57,Constance Ryan,156-160-523,05-03-2019,44700,59115,59115,04,47,1,3,66492.609,46972.602,1,785,36500,109800,6.3699999,182571,64.728813
58,Ray Potter,141-627-374,05-06-2019,41800,55280,55280,03,39,0,2,29529.115,26358.799,0,617,36500,0,6.1500001,223999,41.026592
59,Edward Fox,773-456-391,06-02-2019,43900,58057,31095,05,28,1,3,58018.883,55650.195,2,598,42600,0,6.79,166782,58.169891
60,Theresa Miller,150-569-612,05-02-2019,41600,55015,27306,05,36,0,1,30815.449,12176.068,0,607,46300,0,6.1199999,193134,40.398727
61,Hugh Lawson,055-795-531,04-01-2019,49800,65860,65860,03,34,1,3,73387.633,58398.051,2,730,40800,0,6.1999998,200548,70.07856
62,Kari Goodwin,480-877-563,04-04-2019,42900,56735,56735,01,42,0,3,46359.992,61144.402,0,673,39900,51800,6.6199999,188239,53.688431
63,Tara Hughes,688-746-181,07-07-2019,48100,63612,63612,04,27,0,2,72615.406,65167.059,0,639,47200,0,6.52,195316,68.998169
64,Nettie Mccoy,794-502-138,05-02-2019,42200,55809,29669,04,34,1,2,39333.934,56780.871,2,626,40900,0,6.5599999,169078,47.258968
65,Leo Rose,720-827-043,05-07-2019,42000,55544,55544,02,22,0,1,36818.09,38106.219,0,554,61600,74800,5.9200001,185100,46.604404
66,Morris Phillips,592-110-968,04-05-2019,44200,58454,32082,01,32,1,2,55215.527,52715.113,1,641,41500,0,6.54,191916,59.413151
67,Cedric Ortiz,858-484-416,06-07-2019,43300,57264,57264,01,35,1,3,18711.424,20818.859,0,557,47200,33900,6.75,216932,34.854202
68,Ricky Duncan,564-968-689,03-03-2019,44100,58322,27590,03,33,1,2,59485.957,82564.555,0,581,48000,0,6.9099998,207326,61.146748
69,Shawn Bates,135-072-898,06-02-2019,43600,57660,57660,01,30,1,2,52195.445,42197.301,1,597,46900,16800,6.5799999,209588,57.501637
70,Candice Warren,056-172-830,06-01-2019,48100,63612,63612,02,37,1,2,76691.867,93901.875,3,761,53500,43600,7,165773,73.188835
71,Dean Chandler,374-594-867,08-01-2019,43200,57131,28771,03,36,1,2,50182.77,44898.699,1,640,42500,41400,6.4299998,200819,54.945816
72,Ruby Alvarado,555-350-157,09-02-2019,43000,56867,56867,04,40,0,2,50338.582,49618.977,0,635,63600,0,6.04,173664,54.127914
73,Terrell Hopkins,500-905-107,06-06-2019,43100,56999,56999,03,42,0,2,52685.223,50043.551,0,668,46900,0,7.3299999,182612,56.03912
74,Alberto Washington,923-325-167,04-04-2019,43500,57528,57528,02,35,1,2,53436.832,52484.664,2,630,50300,0,6.1799998,173332,57.632526
75,Tabitha Parsons,005-273-193,07-03-2019,45200,59776,59776,01,41,0,2,57279.824,53415.461,0,714,44600,0,6.6900001,185444,60.726494
76,Colleen Francis,152-287-363,09-06-2019,47300,62554,62554,05,41,1,2,72959.133,86378.828,1,736,49800,333000,5.8699999,179456,68.588257
77,Shelley Holland,697-920-416,05-01-2019,42100,55677,55677,02,37,1,2,32120.121,14494.933,3,597,36300,0,6.0700002,181816,43.194241
78,Lucas Townsend,222-366-344,07-01-2019,42200,55809,28675,01,32,0,2,37449.852,76286.133,0,606,25400,75500,6.4699998,194074,47.349785
79,Betty King,604-074-069,04-02-2019,45300,59909,47643,05,27,1,2,62997.555,63990.621,3,732,47700,67600,6.3499999,190133,61.988533
80,Shelia Becker,302-548-508,05-01-2019,43100,56999,20769,04,36,0,2,21546.342,43471.539,0,574,39300,0,6.4099998,182997,35.075729
81,Jacob Cross,521-693-055,07-04-2019,55300,73134,19603,05,34,1,1,0,0,3,495,31790.844,0,6.6100001,229957,19.624119
82,Bobby Gibson,108-096-684,04-07-2019,44800,59247,59247,03,39,1,2,66352.445,50982.352,0,717,44600,0,6.6399999,186053,65.609894
83,Rhonda Schneider,150-283-833,08-04-2019,42100,55677,55677,05,33,0,2,37513.285,68915,0,568,42000,0,6.2600002,157479,44.997417
84,Marco Mckinney,409-705-257,01-03-2019,41700,55148,18355,04,35,0,2,31282.373,29648.857,0,521,49700,900,7.6500001,157827,41.570663
85,Forrest Vargas,554-963-863,06-05-2019,43600,57660,14315,01,39,0,2,18642.197,0,0,551,39100,0,6.6599998,188118,35.141937
86,Frederick George,103-707-899,04-07-2019,54700,72340,19847,04,36,1,2,167.04382,8412.8994,2,504,43000,133600,6.5300002,201091,20.823444
87,Terry Brown,259-966-844,08-01-2019,41900,55412,55412,04,32,1,2,32480.777,35917.453,0,600,40700,0,6.4400001,190318,42.137749
88,Terri Houston,842-348-312,04-05-2019,44000,58189,58189,05,34,1,2,59218.047,67952.039,1,711,54400,0,6.4899998,187630,59.794868
89,Tamara Green,394-931-832,06-03-2019,44200,58454,58454,05,31,0,2,67739.57,58802.754,0,645,45300,10500,6.9400001,210548,65.594444
90,Raul Fernandez,940-197-689,07-04-2019,43800,57925,57925,01,37,0,2,73630.18,91023.492,0,726,46900,38400,6.4899998,186979,71.379089
91,Tricia Schultz,967-826-864,09-05-2019,44800,59247,59247,05,37,1,2,72447.703,50395.75,3,709,64000,0,6.1199999,204953,68.35009
92,Gina Steele,986-496-018,07-03-2019,42700,56470,24744,01,31,1,2,17448.193,10285.596,0,567,40900,166500,6.6900001,197874,34.577969
93,Natalie Buchanan,641-699-288,06-06-2019,42200,55809,55809,03,28,0,2,37470.219,30886.254,0,560,61400,0,6.3099999,211285,46.459888
94,Ellen Cooper,182-849-461,06-05-2019,43100,56999,56999,03,23,1,2,48283.176,60206.773,3,605,39400,165900,6.8200002,211396,53.885387
95,Catherine Santiago,061-496-582,04-01-2019,42000,55544,19498,05,37,0,2,24425.58,22799.414,0,573,45100,0,6.4200001,189202,36.17794
96,Gilbert Jennings,772-592-915,10-01-2019,42200,55809,29631,01,24,0,2,30479.189,34552.441,0,562,50600,1300,5.9200001,156212,43.070782
97,Michele Stokes,139-122-994,05-01-2019,71200,94161,16728,03,46,0,2,0,6536.291,0,476,45900,0,6.1300001,195077,13.150194
98,Elsa Singleton,385-669-068,06-02-2019,42100,55677,31854,01,27,0,2,34691.746,44291.527,0,592,30300,85400,6.6700001,182607,46.010262
99,Myrtle Garner,432-574-790,05-04-2019,42100,55677,21037,03,37,1,1,32119.242,26071.947,1,611,44800,22600,6.0999999,205675,43.194614
100,Alvin Drake,998-745-119,05-05-2019,42400,56073,56073,01,37,0,2,39745.211,44157.957,0,606,59800,29500,6.25,207976,49.444729
101,Penny Morton,353-413-712,04-02-2019,42500,56206,56206,04,34,1,2,44387.492,49839.695,0,656,38900,14000,6.1399999,201109,50.686443
102,Blake Mitchell,740-460-358,06-01-2019,45500,60173,35628,04,49,1,2,62854.367,36907.023,3,755,38200,53000,6.8299999,180087,62.443024
103,Virginia Luna,539-209-995,09-01-2019,41800,55280,15363,02,38,1,2,25419.773,53595.836,3,564,23300,0,5.9499998,179748,39.033798
104,Pedro Bradley,796-353-548,04-01-2019,43600,57660,57660,04,33,1,1,18967.139,20226.246,0,511,34800,57200,6.6700001,149344,33.0681
105,Allison Grant,206-435-551,05-03-2019,41600,55015,38333,04,38,0,2,70199.484,46337.246,0,713,35000,0,6.0999999,188570,67.120804
106,Rex Chambers,260-046-494,06-05-2019,42100,55677,28061,03,33,1,1,34880.16,18615.252,1,614,57700,0,7.1500001,200667,44.659317
107,Brian Gibbs,664-690-506,03-05-2019,46700,61760,18745,01,32,1,2,8905.0654,20627.369,2,517,36200,30800,7.1500001,171102,28.51412
108,Josefina Rowe,429-268-044,04-06-2019,42900,56735,56735,04,40,1,2,49227.289,39858.41,1,689,37400,132200,6.0300002,187657,53.707424
109,Hugh Vargas,850-445-720,05-01-2019,42200,55809,34268,01,30,0,2,35995.227,48848.484,0,619,41100,0,6.2199998,181671,46.483837
110,Frank Brewer,633-746-268,04-03-2019,43700,57793,57793,04,36,0,2,60628.379,67064.586,0,685,50500,21800,6.2800002,211349,60.956161
111,Myra Mclaughlin,860-391-547,06-07-2019,42300,55941,17052,03,35,0,3,23946.533,15263.128,0,556,25400,228600,6.8299999,189109,37.167904
112,Kerry Anderson,447-663-207,09-06-2019,42100,55677,27127,05,32,0,1,39025.945,49203.547,0,591,36300,72000,5.7199998,191525,45.969315
113,Hilda Reynolds,189-956-588,04-02-2019,42400,56073,32652,05,40,1,2,44438.445,39792.176,0,658,53300,71100,6.2600002,202723,49.597233
114,Jean Vasquez,535-864-850,09-04-2019,42400,56073,21711,02,35,0,1,28012.479,36358.168,0,579,46500,3700,6.1199999,192091,40.507671
115,Flora Massey,966-907-252,02-07-2019,42200,55809,17604,02,43,0,3,23767.145,37895.293,0,593,49500,0,7.0999999,192213,37.612293
116,Nellie Davidson,037-395-970,06-01-2019,42900,56735,56735,03,28,1,3,49575.602,54585.828,2,576,50800,0,6.3600001,195519,54.412487
117,Luis Evans,960-041-603,05-06-2019,44800,59247,59247,04,31,1,1,17324.313,43543.52,1,583,46900,20900,5.9899998,202361,32.196941
118,Phyllis Fleming,639-592-392,03-03-2019,43300,57264,57264,02,36,0,2,50569.066,68586.922,0,633,46400,0,7.2600002,189841,55.898617
119,Kevin White,251-192-728,03-03-2019,42700,56470,25298,04,28,1,2,46583.93,35452.832,0,573,54700,12800,7.29,174923,51.812359
120,Rudy Young,236-488-459,08-06-2019,50900,67315,45900,01,45,1,2,68360.945,88181.672,3,780,41000,35600,6.27,202610,68.145325
121,Rose Cross,674-325-453,09-07-2019,41400,54751,22643,01,35,1,2,16519.818,31997.709,3,553,36100,0,5.5,179398,33.37183
122,Eva Harrison,541-588-059,06-04-2019,42500,56206,15933,05,35,1,3,21990.748,17071.795,2,541,50600,147000,6.96,164402,34.913128
123,Eric Scott,511-115-843,05-05-2019,48600,64273,64273,05,26,0,2,104617.84,118049.62,0,720,48300,31700,5.9200001,188606,90.051102
124,Rhonda Allison,187-276-757,05-04-2019,43900,58057,58057,03,33,1,2,55523.641,79359.742,0,651,43900,0,6.48,195908,58.271721
125,Bruce Miller,161-299-025,07-07-2019,49000,64802,44165,04,34,1,2,84598.484,65547.508,2,707,56700,0,6.4299998,205826,77.202896
126,Caleb Hines,600-988-122,05-05-2019,43100,56999,56999,03,38,0,2,49776.367,84484.641,0,641,44800,10800,6.29,174977,54.138885
127,Melvin Castillo,496-670-427,06-03-2019,42100,55677,55677,03,34,0,2,36956.938,39546.145,0,638,50700,59600,6.6399999,205215,46.165291
128,Levi Burton,472-488-893,06-05-2019,43800,57925,57925,04,39,1,3,59709.82,48961.223,0,732,54500,51800,6.6599998,172177,60.581184
129,Sandra Beck,490-721-901,06-04-2019,43600,57660,16572,01,33,1,2,7042.0996,12778.288,0,524,46700,0,6.6300001,179007,27.387672
130,Kristine Patrick,847-007-536,04-01-2019,46700,61760,43241,05,34,0,2,74460.484,63503.559,0,755,56300,14800,6.6399999,182782,69.733925
131,Randy Vaughn,353-127-342,02-03-2019,54400,71943,20982,03,32,0,1,0,10733.913,0,486,40000,17800,7.6300001,197089,16.081263
132,Salvador Pope,641-768-816,03-01-2019,44900,59380,41979,05,33,1,3,68568.266,75677.875,0,712,43100,139800,6.6799998,206725,65.933052
133,Guillermo Morris,642-941-236,05-06-2019,43300,57264,25057,01,25,1,2,50474.668,52931,3,599,58100,0,5.9499998,180531,56.104797
134,Angel Stanley,001-981-681,08-05-2019,42400,56073,27399,03,34,0,2,33350.758,18233.018,0,589,45200,116600,6.3699999,184465,43.497524
135,Barbara Holland,696-640-314,06-03-2019,43500,57528,57528,03,32,0,2,68980.813,48943.359,0,682,42000,0,6.8099999,175659,67.379539
136,Drew Lindsey,147-034-355,03-03-2019,47900,63347,63347,05,31,1,2,89567.891,66425.367,0,778,28500,0,7.0900002,175115,79.826622
137,Glenda Todd,265-686-569,07-04-2019,45100,59644,59644,02,30,0,2,72775.813,76172.164,0,702,44500,0,6.3499999,184867,70.471306
138,Timothy Medina,340-756-121,07-01-2019,42800,56602,56602,02,43,1,2,46746.109,50930.445,0,655,43900,0,6.54,184204,53.182613
139,Hannah Ward,930-308-288,04-01-2019,42300,55941,55941,02,30,1,2,40536.664,28393.342,1,568,55300,0,6.27,173233,49.148346
140,Diane Mason,715-101-880,07-04-2019,42300,55941,23274,05,44,1,2,43199.23,56538.813,0,649,38900,9800,6.5100002,178800,49.179489
141,Eula Love,489-256-064,08-04-2019,45900,60702,43484,01,40,0,2,68850.641,37546.289,0,748,45900,45000,6.4499998,182639,68.569748
142,Tara Reese,188-965-380,06-02-2019,41800,55280,24084,05,38,1,2,33941.23,29816.637,3,641,43700,0,6.7399998,191248,42.600246
143,Loren Gibson,844-718-259,02-07-2019,42300,55941,16942,04,34,1,2,27912.168,28396.961,2,558,41400,10200,7.1300001,210690,39.270313
144,Paula Dixon,092-042-476,03-01-2019,46900,62025,36660,05,35,1,2,68280.109,82312.664,1,684,49300,0,6.96,159812,65.272209
145,Jay Bell,822-723-445,03-07-2019,43200,57131,57131,03,29,0,2,50542.922,90606.961,0,596,48000,0,7.1700001,175664,55.229019
146,Philip Higgins,380-866-474,02-01-2019,42100,55677,55677,03,29,0,1,35033.145,49577.738,0,631,49200,85000,7.3600001,195203,44.966087
147,Christie Tate,421-762-964,07-02-2019,43100,56999,29220,04,40,0,2,50122.051,34830.609,0,661,51700,11800,6.5900002,180366,54.252056
148,Frankie Hogan,813-699-075,03-06-2019,46300,61231,61231,02,32,0,2,68947.867,59220.84,0,690,49300,40600,7.2199998,209850,67.745262
149,Vanessa Henderson,718-089-565,06-02-2019,47000,62157,62157,01,41,0,3,70224.523,77897.617,0,773,47100,54200,6.6199999,178602,69.462593
150,Jenna Hall,587-859-003,04-03-2019,51400,67976,18653,02,40,1,2,5378.124,0,0,485,24900,60600,6.79,191366,25.553801
151,Tracy Green,058-493-352,09-04-2019,47200,62421,62421,05,39,1,3,74184.844,60137.777,2,716,51800,0,5.8499999,199650,69.432846
152,Nichole Taylor,021-292-376,05-02-2019,42200,55809,55809,01,35,1,2,35190.41,37191.223,1,594,44000,74800,6.1700001,207436,46.202946
153,Delores Benson,390-896-897,05-04-2019,42500,56206,24806,01,32,0,2,42454.383,59967.219,0,578,35300,0,6.3499999,190445,50.666935
154,Robin Parsons,743-488-161,07-01-2019,41400,54751,18584,01,25,1,2,15127.188,43842.031,3,514,28400,29600,6.75,207364,32.542011
155,Noel Bailey,690-479-954,07-02-2019,42300,55941,23183,03,43,1,2,40459.484,67142.063,1,646,36500,197800,6.75,227625,48.43819
156,Camille Reed,675-199-074,03-05-2019,48300,63876,16504,05,32,0,2,8312.8643,28855.734,0,484,49700,23900,6.8000002,220486,25.597034
157,Judith Craig,199-780-668,06-06-2019,42000,55544,19610,04,41,1,1,19795.592,20029.367,3,577,31600,61300,6.5799999,168566,33.731709
158,Franklin Curtis,184-482-695,03-01-2019,42300,55941,26019,05,35,1,2,29011.832,29555.508,3,627,45500,0,7.29,196171,39.151279
159,Janet Welch,141-305-567,05-01-2019,42100,55677,55677,01,30,1,2,34487.012,44892.77,0,626,56000,0,6.4099998,184894,45.905712
160,Meredith Wilson,068-712-595,08-07-2019,41900,55412,55412,03,34,0,2,32988.672,45455.883,0,632,34200,20600,6.5900002,196717,43.334984
161,Kristy Watson,737-050-304,03-06-2019,42400,56073,31180,01,28,0,2,27050.361,51493.332,0,603,42700,0,7.0500002,217747,40.636059
162,Javier Ray,170-994-584,06-03-2019,42300,55941,55941,03,16,1,2,41948.129,37493.305,0,510,42500,0,6.5900002,196669,49.234055
163,Alejandro West,347-563-991,07-04-2019,42300,55941,55941,04,38,1,2,31722.439,29156.66,3,598,40200,0,6.5599999,201965,42.044365
164,Edna Collier,226-403-169,06-02-2019,44100,58322,58322,05,44,1,2,75087.656,91474.258,3,770,46500,0,7.23,176998,70.298645
165,Natasha Martinez,070-505-607,07-05-2019,49200,65066,65066,05,34,1,2,15370.871,20319.75,3,565,46400,0,6.25,200806,30.262936
166,Lynn Crawford,380-913-336,05-06-2019,42000,55544,55544,04,28,1,2,34629.867,17715.832,3,587,34700,83900,6.3499999,179523,44.046185
167,Lionel Watts,678-541-637,03-07-2019,45300,59909,45596,02,35,0,3,80168.43,94400.406,0,734,41600,14500,6.8899999,187311,75.62281
168,Wallace Webster,045-317-333,08-07-2019,40500,53561,53561,03,35,1,3,20226.662,0,0,565,48500,0,6.6300001,196596,34.847134
169,Yvette Schmidt,922-131-573,01-07-2019,42200,55809,55809,01,36,0,2,37640.082,49112.152,0,585,51600,0,7.9299998,195138,47.7589
170,Darlene Riley,312-085-157,05-02-2019,53800,71150,18975,03,43,1,2,651.36151,34861.332,0,512,22900,19500,6.0700002,175198,21.406433
171,Agnes Gray,889-580-656,06-03-2019,44000,58189,25023,03,25,0,2,16940.82,3959.5801,0,540,37200,0,6.6300001,179466,32.44849
172,Salvatore Henry,072-352-726,07-06-2019,42200,55809,55809,04,30,1,2,35235.066,39305.711,1,526,28200,32900,6.8000002,206371,44.064205
173,Nelson Moreno,305-992-570,04-03-2019,44200,58454,58454,03,32,0,1,55034.496,35358.422,0,576,37100,66500,6.3299999,174724,57.986515
174,Kari Hammond,066-807-568,07-01-2019,42800,56602,56602,01,40,1,2,45021.738,46398.734,3,628,51500,0,6.3200002,186906,52.697948
175,Pam Pena,351-192-173,04-07-2019,42500,56206,56206,05,28,1,2,27470.951,24968.137,1,544,34900,133500,6.8099999,198591,38.755764
176,Kelvin Norman,898-732-543,06-01-2019,43100,56999,29227,01,31,0,2,46995.945,16629.754,0,627,42000,113600,6.52,181405,54.406578
177,Amos Wells,343-978-539,04-02-2019,41200,54486,22745,05,40,1,2,27731.443,24169.273,0,573,41800,130800,6.48,182402,38.595524
178,Jeffrey Wheeler,229-479-964,05-02-2019,42000,55544,26704,03,35,0,2,37768.27,40008.605,0,602,53300,0,6.23,206057,46.074825
179,Ricky Gill,404-845-440,08-05-2019,46500,61496,61496,02,38,0,2,62657.504,75784.438,0,712,52400,0,6.6900001,196458,63.966198
180,Tracy Nguyen,996-955-461,06-04-2019,51700,68373,12362,01,33,0,2,0,16366.482,0,480,54500,26600,6.6199999,173930,18.145483
181,Tiffany Fisher,491-101-613,04-05-2019,43400,57396,57396,01,28,0,2,52422.336,64550.438,0,598,44500,33200,6.0500002,179067,57.518822
182,Eugene Mendez,313-133-387,08-04-2019,43600,57660,18007,04,42,0,1,22896.813,32039.723,0,594,43700,0,6.3099999,167084,35.795673
183,Kellie Austin,907-064-315,05-02-2019,42300,55941,55941,02,35,0,3,25581.488,46398.914,0,600,60200,0,6.23,175326,39.248402
184,Belinda Houston,238-213-678,05-06-2019,46500,61496,61496,01,34,1,2,8083.5522,0,1,509,34300,0,6.1700001,200797,28.138254
185,Jack Patterson,527-160-959,08-02-2019,46500,61496,61496,03,33,0,2,13570.413,21257.635,0,526,32200,0,6.02,175787,30.07822
186,Orville Diaz,177-147-292,03-01-2019,42000,55544,25824,05,33,1,2,34833.984,58333.668,3,582,27100,21000,7.0900002,168230,43.358139
187,Esther Cook,877-268-820,03-02-2019,42200,55809,23045,04,22,1,2,32645.557,31652.004,2,534,52600,64700,7.0100002,195616,42.486958
188,Noah Hernandez,116-517-864,06-02-2019,51500,68108,68108,05,30,1,2,89195.852,52875.434,3,776,54100,0,6.6500001,207833,79.715988
