id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
289,Cedric Wilkerson,226-670-348,04-07-2020,44100,58322,02,34,0,2,58016.141,68750.133,0,624,43000,156200,6.6300001,182645
290,Danny Gordon,768-353-288,04-06-2020,46900,62025,05,41,1,2,76846.25,98183.484,1,777,34400,0,6.8800001,210854
291,Danielle Goodman,419-743-318,06-03-2020,45200,59776,04,32,1,2,71763.523,66899.305,1,728,39600,0,6.8699999,190300
292,Elbert Goodwin,130-562-838,05-02-2020,49000,64802,03,36,1,2,70687.07,58165.645,1,759,53000,0,6.2800002,195421
293,Fred Neal,721-983-770,07-03-2020,42200,55809,04,40,1,2,18327.082,37424.328,3,543,57000,0,6.7399998,195816
294,Joyce Mcdaniel,365-405-520,04-03-2020,43400,57396,05,39,1,3,55717.383,43797.469,1,668,48700,142800,6.3299999,213480
295,Adam Leonard,687-403-556,06-02-2020,44100,58322,01,33,0,3,56432.922,48169.543,0,685,49100,49700,6.8200002,176221
296,Ben Rhodes,898-387-522,05-07-2020,44500,58851,02,26,0,2,60890.586,62355.895,0,581,39200,0,6.29,200107
297,Joanna Hicks,464-126-542,04-05-2020,42700,56470,05,29,1,2,30380.061,50752.508,2,553,37100,66900,6.2399998,192391
298,Erica Burton,750-628-854,05-07-2020,44700,59115,01,36,0,2,57533.684,81231.953,0,641,31000,35300,6.23,201688
299,Jermaine Wilkins,955-406-271,06-07-2020,42500,56206,05,30,1,2,46771.203,11462.009,0,656,37200,90600,6.8099999,164081
300,Kristina Coleman,915-451-496,04-03-2020,41800,55280,03,36,0,2,29255.729,62723.348,0,586,44800,221000,6.4000001,200072
301,Lena Carter,707-874-141,05-03-2020,45700,60438,03,36,1,2,6296.1982,18759.529,3,501,53600,74400,6.3499999,183738
302,Frank Santiago,713-450-603,08-03-2020,48700,64405,01,35,0,2,69292.273,41684.145,0,754,43800,26600,6.4699998,181125
303,Kara Sandoval,051-232-626,07-02-2020,42400,56073,03,26,0,3,10436.043,1276.8467,0,445,47600,0,6.6700001,178698
304,Henrietta Nunez,777-059-312,05-06-2020,43200,57131,03,37,1,2,51604.004,57835.199,1,652,57600,69600,6.3800001,189252
305,Kevin Bass,801-392-916,06-04-2020,41600,55015,04,34,1,2,16843.385,20138.869,2,559,41000,3900,6.6399999,190705
306,Elisa Carpenter,830-836-924,07-04-2020,42500,56206,04,37,1,2,45141.547,20824.391,3,636,43800,61800,6.2399998,172317
307,Jackie Lawrence,358-913-631,09-02-2020,44000,58189,05,30,0,3,60542.188,90955.789,0,656,36400,0,6.5799999,200372
308,Marcus Myers,920-687-675,06-04-2020,46700,61760,03,35,0,2,62808.242,74770.461,0,657,39600,109200,6.4899998,189853
309,Fred Castro,990-296-629,07-02-2020,41800,55280,03,37,1,2,35859.207,23821.592,1,602,31000,75700,7.0700002,177323
310,Julius Haynes,219-780-811,07-06-2020,42500,56206,04,28,1,2,45285.242,15045.484,1,614,45400,87500,6.3000002,170594
311,Greg Hunt,254-784-012,07-02-2020,45300,59909,02,38,0,2,63838.012,60365.824,0,714,44000,74700,6.71,171188
312,Spencer Jensen,624-276-045,03-01-2020,49400,65331,03,33,1,2,74507.609,67853.336,1,732,51600,35100,7.0700002,198578
313,Jackie Johnston,882-114-797,06-07-2020,46100,60967,05,26,1,2,63796.855,87620.656,2,609,50100,71500,6.7800002,212064
314,Tiffany Mendez,484-423-086,06-01-2020,42700,56470,02,34,1,2,44869.301,59650.457,2,693,47300,2700,6.3800001,164134
315,Santiago Mcgee,628-723-811,04-06-2020,42800,56602,04,32,1,2,48095.199,50895.566,1,566,37000,32900,6.4400001,202130
316,Sam Mckenzie,209-031-895,06-03-2020,43800,57925,02,43,0,2,60669.156,81651.508,0,767,50100,0,6.9099998,193172
317,Janice Kennedy,770-435-686,01-07-2020,42300,55941,05,37,1,2,42980.738,33971.367,3,620,39600,0,7.6900001,176485
318,Bert Lloyd,572-956-968,05-02-2020,44300,58586,04,35,0,3,57322.75,46938.887,0,675,39200,8200,6.21,189976
319,Fannie Dennis,401-256-590,05-07-2020,42400,56073,02,32,0,2,42040.016,20633.785,0,640,47800,0,6.2600002,194246
320,Tony Meyer,820-736-681,04-03-2020,43000,56867,01,34,1,2,47932.543,45510.371,2,651,58600,0,6.48,210490
321,Mattie Paul,045-099-404,06-06-2020,46900,62025,04,33,0,2,13846.321,0,0,543,50500,56300,6.6999998,191994
322,Traci Farmer,318-980-125,07-03-2020,42000,55544,02,32,0,2,35587.863,39448.867,0,568,40700,76500,6.4200001,214666
323,Rosa Jenkins,576-934-587,05-06-2020,42300,55941,02,38,1,1,41009.414,57051.219,1,650,34000,0,6.6700001,200403
324,Darin Love,429-706-772,04-01-2020,42800,56602,05,33,1,2,49170.738,42933.379,0,672,23800,28900,6.4000001,186828
325,Priscilla Hudson,010-060-863,03-07-2020,42400,56073,01,37,0,2,41151.926,37525.531,0,625,44800,85400,7,178123
326,Miriam Richards,927-835-347,05-06-2020,42500,56206,01,33,1,2,26965.477,43110.66,2,552,41000,0,6.4499998,203106
327,Eric Zou,007-574-359,07-03-2020,42700,56470,02,32,0,2,15631.271,23302.27,0,533,45000,0,6.8099999,188572
328,Jorge Gray,993-394-158,07-06-2020,43300,57264,03,32,0,2,51705.805,51002.176,0,625,39800,0,6.77,186096
329,Leslie Robertson,905-140-496,04-03-2020,42700,56470,04,33,0,2,46830.359,74225.383,0,641,48000,158400,6.6199999,188016
330,Omar Thornton,935-419-773,08-05-2020,42500,56206,02,36,1,2,43678.922,68022.844,1,605,42400,0,6.21,198255
331,Kelli Gordon,288-388-330,08-04-2020,44200,58454,05,35,1,2,72573.453,61004.07,2,688,37900,0,6.3800001,192823
332,Gertrude Matthews,933-192-735,06-02-2020,45300,59909,01,37,0,3,7741.1685,8395.3525,0,541,37100,23100,6.4000001,192226
333,Bob Waters,716-853-370,05-02-2020,44300,58586,05,33,0,2,63287.199,77934.086,0,648,52100,0,6.0300002,176097
334,Tracy Stephens,859-858-799,06-04-2020,44600,58983,04,37,1,2,71332.75,89330.328,1,711,57100,78400,6.4699998,198981
335,Corey Ortiz,062-502-196,05-07-2020,60700,80275,03,43,0,1,95597.813,66717.805,0,833,54200,0,6.2399998,197292
336,Carlton Anderson,909-759-924,06-03-2020,49400,65331,01,34,1,2,2903.1362,23280.266,1,501,28200,0,6.71,214269
337,Dianna Schultz,887-268-280,07-06-2020,44500,58851,04,36,1,1,20058.982,24537.895,3,602,28100,28400,6.5100002,178259
338,Paul Cole,070-133-406,04-04-2020,42500,56206,02,30,0,2,10596.899,0,0,537,33700,59300,6.7399998,196221
339,Floyd Marshall,624-420-290,01-04-2020,45700,60438,01,31,1,3,67790.492,57604.066,3,665,49300,0,8.0500002,196557
340,Ignacio Rios,794-404-286,08-03-2020,70800,93632,02,43,1,3,0,0,3,509,27500,0,6.5,206590
341,George Parsons,130-825-420,05-04-2020,42300,55941,04,30,0,1,42828.367,46592.871,0,605,36900,0,6.5,168951
342,Denise Mendoza,145-537-473,04-06-2020,44600,58983,01,28,0,2,61964.848,49782.68,0,599,47800,4000,6.54,184791
343,Arturo Barrett,075-341-890,06-06-2020,42300,55941,02,23,0,1,28783.535,50520.508,0,538,41100,19900,6.75,160821
344,Sheryl Ruiz,695-011-312,06-01-2020,46300,61231,02,36,1,2,73059.938,61920.074,0,733,51100,0,6.7399998,204753
345,Dave Spencer,893-735-446,08-06-2020,41700,55148,02,37,0,2,19155.529,22161.176,0,556,46000,29200,6.3299999,177221
346,Angie Holt,904-315-377,06-06-2020,43900,58057,02,38,0,2,54978.445,61178.375,0,677,34100,0,6.8099999,186420
347,Jermaine Cobb,112-791-142,04-05-2020,44400,58718,04,33,1,2,62998.254,59769.613,1,672,42800,0,6.5300002,186458
348,Norma Chandler,908-172-753,04-06-2020,41800,55280,02,28,0,2,29527.824,22027.848,0,523,38300,0,6.5599999,192110
349,Gregg Newman,359-651-379,06-07-2020,43400,57396,04,37,0,3,9811.0068,0,0,522,47300,0,6.8499999,178254
350,Patricia Snyder,506-385-718,04-07-2020,46100,60967,04,38,1,2,8757.7432,19214.373,0,544,37400,82200,6.6399999,200263
351,Wendy Harmon,141-436-613,06-05-2020,42400,56073,01,31,1,2,40541.504,34491.746,3,559,54900,0,6.5999999,168587
352,Frederick Moss,885-599-785,05-03-2020,42300,55941,01,42,1,2,24920.174,36024.805,2,601,36300,0,6.0900002,196510
353,Claire Gilbert,480-443-820,08-07-2020,42400,56073,02,38,0,2,41678.504,52659.215,0,604,41400,189000,6.3400002,197074
354,Angelo Jefferson,133-565-998,06-07-2020,43400,57396,03,33,1,2,53175.367,82453.531,1,672,49900,0,6.7399998,215236
355,Laura Webb,299-945-054,06-05-2020,42200,55809,04,23,0,3,36608.297,20527.83,0,544,45800,160700,6.6700001,194510
356,Helen Chapman,112-498-126,03-03-2020,42400,56073,04,22,1,2,27808.359,26308.203,2,488,49000,0,6.8800001,189986
357,Felicia Mullins,520-253-750,08-01-2020,42000,55544,04,36,1,3,18405.334,21226.377,1,574,39600,59000,6.5,189367
358,Shirley Colon,190-254-359,07-06-2020,45300,59909,04,34,0,1,18999.668,0,0,556,50000,0,6.3400002,185013
359,Tracey Simpson,531-565-089,06-02-2020,41900,55412,01,32,0,2,28402.379,65507.699,0,613,54800,79600,6.8600001,227137
360,Ismael Davis,102-162-760,04-03-2020,42200,55809,04,25,1,2,33281.137,50135.527,0,524,44300,61700,6.6599998,212343
361,Eleanor Washington,626-570-682,04-02-2020,42800,56602,02,36,0,2,19216.75,0,0,579,36100,0,6.8000002,177733
362,Tasha Howell,237-075-239,06-04-2020,41800,55280,01,31,0,2,32605.406,37457.207,0,583,29200,6600,6.6700001,198948
363,Conrad Gibbs,250-551-258,05-06-2020,44700,59115,02,34,0,2,15919.409,21427.463,0,514,52500,96300,6.3000002,171159
364,Leroy Wood,522-495-302,03-07-2020,48100,63612,05,40,1,2,88604.844,72991.398,2,807,47800,65600,7.0599999,191593
365,Doreen Reeves,058-828-632,03-07-2020,42100,55677,05,33,1,2,37350.691,52892.066,3,561,42700,189900,6.9099998,204282
366,Betsy Walton,657-097-451,10-03-2020,42200,55809,04,27,1,3,25228.08,24016.43,2,557,22900,0,5.8699999,222074
367,Martha Simon,677-755-991,07-02-2020,42900,56735,03,26,1,2,29684.807,32885.063,3,494,68200,0,6.8800001,185155
368,Homer Oliver,351-486-892,03-06-2020,42100,55677,04,33,1,2,34664.453,39939.453,2,562,50900,0,7.1100001,198012
369,Penny Patrick,980-113-492,02-01-2020,42600,56338,02,35,1,2,23058.961,54111.848,0,552,12200,156200,7.1399999,186974
370,Virginia Fletcher,013-309-543,07-07-2020,41700,55148,05,30,1,2,32339.836,31019.439,0,566,36200,73600,6.5500002,187849
371,Robert Larson,087-150-572,08-02-2020,43400,57396,02,28,0,2,24848.896,35418.184,0,587,36000,93000,6.4499998,204410
372,Joann Gomez,481-916-576,05-02-2020,47800,63215,05,36,0,2,72432.859,54116.859,0,683,45800,113800,6.3800001,195141
373,Dwayne Flores,628-017-234,08-04-2020,43500,57528,02,36,0,2,16815.098,23523.303,0,568,37300,77100,6.54,169750
374,Joyce Robbins,771-733-591,08-02-2020,42000,55544,03,32,0,2,31085.721,10824.793,0,595,33700,0,6.3000002,211037
375,Keith Craig,619-962-188,04-05-2020,46100,60967,05,40,0,2,66017.859,71375.609,0,704,43000,0,6.3699999,188299
376,Marlon Perez,851-897-995,08-07-2020,51800,68505,02,33,0,2,79468.023,63666.043,0,709,44100,105000,6.1199999,172977
377,Phillip Harrington,993-465-528,07-05-2020,43800,57925,02,45,1,2,53055.215,41840.914,1,733,50800,7400,6.8600001,155536
378,Michele Schneider,145-369-531,04-06-2020,43400,57396,04,33,1,1,51374.18,50815.465,3,637,54400,0,6.52,196828
379,Dustin Mack,773-371-504,07-04-2020,45300,59909,02,36,0,3,15838.138,0,0,557,35400,129900,6.3099999,214665
380,Elmer Poole,923-237-323,05-02-2020,42200,55809,03,39,0,2,41149.152,38775.379,0,614,47000,68800,6.23,204731
381,Susie Wheeler,621-463-311,04-07-2020,43400,57396,03,24,0,2,54774.758,29797.418,0,603,45900,0,6.2600002,185062
382,Karl Delgado,830-425-740,05-02-2020,44800,59247,04,31,0,2,19923.738,44789.277,0,573,40200,64400,6.1300001,190334
383,Hope Rodriguez,239-872-685,06-06-2020,42000,55544,05,40,1,1,32451.781,32585.369,3,637,33200,156900,6.7399998,196949
384,Sherri Wilkerson,465-994-098,03-02-2020,41800,55280,04,40,0,3,34301.516,35521.098,0,645,53900,32900,6.79,194840
385,Terence Benson,698-766-762,05-06-2020,43100,56999,02,35,0,2,52785.996,48409.133,0,651,47300,0,6.5900002,232261
386,Aaron Guzman,513-720-475,06-04-2020,42500,56206,02,30,1,2,66251.945,67958.711,3,637,40900,22800,7.0300002,163975
387,Leonard Potter,863-342-997,06-02-2020,43100,56999,04,42,1,2,53526.383,55525.215,1,694,65700,0,6.6900001,191861
388,Erik Sanchez,255-520-136,09-05-2020,44300,58586,04,38,1,2,18182.279,0,1,557,37100,0,5.8200002,173544
389,Perry Pope,013-305-951,07-01-2020,49100,64934,05,32,0,1,11039.901,26609.242,0,545,47800,145000,7.02,192281
390,Orlando Conner,755-373-687,06-02-2020,48400,64008,02,40,1,2,78527.984,84951.313,0,770,44200,25700,6.7399998,182290
391,Donna Watson,761-176-409,05-01-2020,42200,55809,01,36,1,2,31556.426,25071.01,0,651,46800,91000,6.4499998,184338
392,Samantha Robinson,214-428-902,02-04-2020,49000,64802,01,40,1,2,8878.9053,17623.563,3,553,41600,163400,7.1999998,191233
393,Carrie Drake,395-930-820,05-05-2020,43900,58057,04,31,0,3,56518.41,71429.406,0,658,37800,164300,6.1399999,184031
394,Kathryn Willis,464-066-949,05-07-2020,45900,60702,03,31,1,2,77316.313,86802.781,1,757,47700,0,6.0300002,187672
395,Malcolm Munoz,157-889-630,06-07-2020,42200,55809,02,39,1,2,27184.443,12688.899,1,589,49500,0,6.5900002,195863
396,Alton Armstrong,324-451-814,07-03-2020,42300,55941,01,30,0,3,38339.098,39429.426,0,604,41400,3100,7.1399999,174083
397,Elsie Harvey,814-088-950,07-04-2020,46600,61628,03,41,0,2,70291.602,77970.961,0,763,43800,0,6.5,233288
398,Peter Medina,063-276-875,04-06-2020,55300,73134,05,36,1,2,0,13224.718,0,507,37800,61800,6.7399998,203437
399,Natasha Gibson,099-535-642,04-01-2020,49600,65595,04,25,0,3,88843.852,80596.867,0,708,40200,2700,6.48,209502
400,Russell Wolfe,022-457-863,09-04-2020,42600,56338,05,39,0,2,46771.77,38650.098,0,690,58300,0,5.8800001,196404
401,Clark Shelton,888-710-607,02-05-2020,47200,62421,03,30,1,2,72316.438,52788.957,0,673,45100,70900,7.6999998,191664
402,Ricardo Lee,102-490-169,03-05-2020,46300,61231,05,36,1,3,64241.57,66686.328,3,702,46000,0,7.1199999,206831
403,Shawna Gonzalez,942-305-172,05-06-2020,44800,59247,01,33,0,2,60809.734,74924.25,0,611,37000,0,6.2399998,182190
404,Sergio Porter,906-594-903,05-03-2020,41400,54751,05,40,0,2,35326.223,53501.32,0,624,42900,43700,5.9299998,177642
405,Lyle Black,303-540-255,06-06-2020,45000,59512,03,32,0,2,65565.836,67662.625,0,704,61400,170200,6.6100001,185408
406,Gayle Wagner,561-043-241,04-04-2020,53000,70092,03,39,1,2,82960.25,85922.828,1,788,49300,0,6.5700002,182134
407,Leroy Steele,432-633-979,09-06-2020,42500,56206,01,26,0,2,26848.957,20832.277,0,613,36300,0,6.0500002,173265
408,Jaime Wolfe,991-461-228,06-02-2020,43000,56867,05,35,0,2,67795.391,65787.852,0,695,45700,0,6.9699998,185816
409,Marjorie Mendoza,544-148-321,03-02-2020,42200,55809,04,38,0,2,35414.324,51510.344,0,621,45600,0,7.1999998,198829
410,Faith Bennett,186-655-835,06-04-2020,42000,55544,02,31,1,3,35341.363,16508.428,3,581,47200,41300,6.6900001,184767
411,Nettie George,931-988-383,07-05-2020,41800,55280,03,41,1,2,23710.021,14692.692,1,558,33300,0,6.8499999,194224
412,Taylor Gregory,039-386-584,03-01-2020,46500,61496,04,32,1,2,78962.742,75781.508,1,674,45300,145100,7.3499999,199107
413,Seth Chavez,461-856-258,06-05-2020,41800,55280,05,31,0,2,21421.287,35369.914,0,481,54700,51600,6.5100002,182813
414,Zachary Meyer,699-891-984,07-04-2020,42700,56470,02,27,0,2,45633.094,48734.023,0,570,39100,0,6.73,208879
415,Joe Montgomery,352-982-652,07-04-2020,41700,55148,04,34,1,2,35064.172,34720.277,0,618,27900,0,6.79,193046
416,Tricia Turner,000-970-397,07-07-2020,43300,57264,04,32,0,2,22119.799,36530.168,0,517,33300,211400,6.6599998,191559
417,Ben Jennings,844-798-340,02-07-2020,42600,56338,01,38,1,2,23700.025,0,1,610,33900,117600,7.4200001,202837
418,Gerardo Holloway,782-844-196,11-04-2020,42300,55941,03,35,1,2,33409.254,13548.822,3,577,51400,17700,5.9899998,181875
419,Rosemarie Garner,047-186-642,07-03-2020,44500,58851,04,34,1,2,63487.578,52906.406,1,688,46100,0,6.46,195507
420,Warren Houston,766-827-092,05-06-2020,48000,63479,04,32,1,2,8631.3926,8521.8662,1,522,42400,0,6.6799998,201464
421,Fred Fisher,375-657-927,07-03-2020,41800,55280,03,32,0,2,32195.365,41681.992,0,631,46300,13400,6.52,168295
422,Troy Jones,130-226-775,09-06-2020,41500,54883,01,26,0,2,30586.07,20242.652,0,565,38700,12300,5.9400001,183752
423,Shannon Castillo,714-319-653,07-02-2020,45600,60305,02,28,1,2,10778.502,7174.6304,1,487,43900,0,6.9899998,196892
424,Martin Adams,891-039-711,06-02-2020,42800,56602,02,40,0,2,45712.992,31380.391,0,665,68400,34200,6.6700001,167982
425,Vivian Potter,311-328-742,04-05-2020,54000,71414,04,40,1,3,100150.72,99605.719,0,819,53300,0,6.3200002,196185
426,Sandra Quinn,776-451-625,09-06-2020,49500,65463,01,36,1,2,76985.398,84911.5,2,723,51000,66400,6.1399999,206784
427,Elsa Daniels,947-046-190,07-01-2020,41800,55280,01,27,1,2,24565.57,11945.936,1,535,69800,21100,6.8800001,191096
428,Luther Hines,861-420-453,07-03-2020,55500,73398,02,30,1,2,0,0,1,520,36900,72400,6.6799998,198696
429,Sidney Jackson,022-921-297,03-02-2020,42700,56470,02,40,1,2,28705.49,44365.82,0,585,47800,19900,7.1700001,189562
430,Shawn Cobb,763-620-074,05-07-2020,42000,55544,05,30,1,2,36693.77,65336.875,3,568,43700,89400,6.4400001,180521
431,Clara Jefferson,840-583-759,09-02-2020,42000,55544,04,35,0,2,35706.547,32690.104,0,608,41900,36200,5.8899999,199280
432,Marta Holt,803-373-451,03-02-2020,47100,62289,02,29,0,2,70197.008,79955.445,0,670,53000,0,7.1799998,185830
433,Herman Moss,115-749-503,03-06-2020,42100,55677,01,36,1,2,36109.32,32824.172,0,605,50500,8700,7.0900002,162492
434,Kristina Ortega,660-877-725,10-05-2020,48000,63479,04,27,0,2,77023.758,89646.273,0,695,46000,72300,6.0300002,180182
435,Jackie Sharp,923-710-028,07-04-2020,42200,55809,02,32,0,3,39115.387,36963.922,0,578,43700,61000,6.6900001,181563
436,Johnny Caldwell,415-117-619,10-03-2020,44300,58586,03,35,1,3,61552.402,50980.332,0,678,37700,0,5.6199999,183518
437,Gabriel Fuller,382-680-504,04-07-2020,44700,59115,03,34,1,3,59096.77,70893.516,1,656,56100,0,6.4099998,214446
438,Courtney Bowen,116-667-670,08-04-2020,42800,56602,05,39,0,2,26145.191,0,0,580,51000,100100,5.9099998,209638
439,Rene Graves,564-338-755,06-04-2020,42200,55809,05,26,1,2,38956.859,45436.055,2,516,28700,124000,6.9400001,209381
440,Cary Yates,955-561-747,08-01-2020,43300,57264,01,25,1,2,49914.297,43715.398,3,523,55800,287300,6.4200001,218289
441,Kirk Patterson,458-979-208,07-04-2020,44300,58586,05,31,0,2,64007.91,93338.508,0,624,61900,23900,6.46,179329
442,Frankie Graham,264-228-611,07-05-2020,42300,55941,05,35,0,2,42713.75,61686.477,0,598,35400,57800,6.46,176031
443,Maria Duncan,340-208-683,05-04-2020,48200,63744,01,30,0,2,64227.555,49093.891,0,598,39000,0,6.0999999,185627
444,Marlene Bryan,919-793-557,06-05-2020,42400,56073,01,33,1,2,41423.617,73410.016,2,654,49000,0,6.4000001,184409
445,Bryant Craig,453-186-289,07-06-2020,42600,56338,05,32,0,2,26767.373,47421.41,0,562,37900,0,6.6700001,213265
446,Lorraine Dawson,602-527-720,04-07-2020,41400,54751,05,33,0,2,23209.539,35538.531,0,515,37200,0,6.3499999,161027
447,Brenda Moore,384-054-876,07-02-2020,45000,59512,03,29,0,2,71908.898,59021.086,0,690,53300,1900,6.4000001,166818
448,Lucia Payne,876-279-427,08-07-2020,43200,57131,03,33,0,3,25238.377,8751.7178,0,544,51100,0,6.4499998,191483
449,Naomi Young,369-110-599,03-06-2020,44200,58454,01,33,1,2,56411.848,46059.293,1,687,42600,0,6.9899998,206891
450,Agnes Stokes,138-743-178,06-01-2020,42600,56338,02,34,0,2,44336.891,43552.027,0,619,62200,123800,6.9299998,168165
451,Jesus Walker,137-173-588,08-02-2020,47200,62421,01,33,1,3,80831.906,73241.414,3,749,46500,70300,6.5500002,182166
452,Tracey Stephens,682-954-005,05-01-2020,49600,65595,03,38,1,2,70955.336,43276.836,2,707,35800,0,6.2600002,174768
453,Amy Mills,485-255-780,04-01-2020,44300,58586,01,31,1,2,54713.168,65941.008,0,650,53100,0,6.54,186021
454,Saul Spencer,855-348-928,08-03-2020,44700,59115,05,32,0,2,66451.047,74736.594,0,670,38600,29900,6.27,200519
455,Isaac Colon,574-140-849,04-07-2020,48800,64537,04,41,1,2,75330.438,65827.969,3,784,49600,185400,6.6199999,191211
456,Lauren Robbins,372-521-184,05-07-2020,50700,67050,02,33,1,3,0,5433.0913,3,450,48100,0,6.04,191484
457,Conrad Munoz,589-097-784,03-01-2020,42100,55677,04,30,1,3,35988.535,58432.785,2,496,30800,19700,7,194614
458,Rosie Sherman,826-514-139,05-04-2020,42100,55677,03,33,1,1,33840.164,27217.535,0,659,44300,72700,6.3299999,171753
459,Maggie Wallace,077-479-769,03-01-2020,42300,55941,05,35,0,2,43062.125,51678.293,0,657,49900,32100,6.8499999,185659
460,Shane Jacobs,518-568-943,08-06-2020,43200,57131,05,35,1,3,58339.613,52496.43,0,682,50200,0,6.3200002,200781
461,Kate Larson,159-545-514,05-05-2020,41900,55412,04,31,0,2,36969.691,28237.898,0,618,48600,66300,6.2199998,198320
